Paper Title,Authors,ID
The many Shapley values for model explanation,"Mukund Sundararajan, Amir Najmi",5812
Linear Convergence of Randomized Primal-Dual Coordinate Method for Large-scale Linear Constrained Convex Programming,"Daoli Zhu, Lei Zhao",5813
New Oracle-Efficient Algorithms for Private Synthetic Data Release,"Giuseppe Vietri, Steven Wu, Mark Bun, Thomas Steinke, Grace Tian",5814
Oracle Efficient Private Non-Convex Optimization,"Seth Neel, Aaron Roth, Giuseppe Vietri, Steven Wu",5815
Universal Asymptotic Optimality of Polyak Momentum,"Damien Scieur, Fabian Pedregosa",5816
Adversarial Robustness via Runtime Masking and Cleansing,"Yi-Hsuan Wu, Chia-Hung Yuan, Shan-Hung (Brandon) Wu",5817
Implicit Euler Skip Connections: Enhancing Adversarial Robustness via Numerical Stability,"Mingjie Li, Lingshen He, Zhouchen Lin",5818
Best Arm Identification for Cascading Bandits in the Fixed Confidence Setting,"Zixin Zhong, Wang Chi Cheung, Vincent Tan",5819
Robustness to Programmable String Transformations via Augmented Abstract Training,"Yuhao Zhang, Aws Albarghouthi, Loris D'Antoni",5820
The Complexity of Finding Stationary Points with Stochastic Gradient Descent,"Yoel Drori, Ohad Shamir",5821
Sample Complexity Bounds for 1-bit Compressive Sensing and Binary Stable Embeddings with Generative Priors,"Zhaoqiang Liu, Selwyn Gomes, Avtansh Tiwari, Jonathan Scarlett",5822
Class-Weighted Classification: Trade-offs and Robust Approaches,"Neil Xu, Chen Dan, Justin Khim, Pradeep Ravikumar",5823
Neural Architecture Search in a Proxy Validation Loss Landscape,"Yanxi Li, Minjing Dong, Yunhe Wang, Chang Xu",5824
Almost Tune-Free Variance Reduction,"Bingcong Li, Lingda Wang, Georgios B. Giannakis",5825
Uniform Convergence of Rank-weighted Learning ,"Liu Leqi, Justin Khim, Adarsh Prasad, Pradeep Ravikumar",5826
Non-autoregressive Translation with Disentangled Context Transformer,"Jungo Kasai, James Cross, Marjan Ghazvininejad, Jiatao Gu",5827
More Information Supervised Probabilistic Deep Face Embedding Learning,"Ying Huang, Shangfeng Qiu, Wenwei Zhang, Xianghui Luo, Jinzhuo Wang",5828
Reinforcement Learning for Non-Stationary Markov Decision Processes: The Blessing of (More) Optimism,"Wang Chi Cheung, David Simchi-Levi, Ruihao Zhu",5829
Improved Sleeping Bandits with Stochastic Action Sets and Adversarial Rewards,"Aadirupa Saha, Pierre Gaillard, Michal Valko",5830
From PAC to Instance-Optimal Sample Complexity in the Plackett-Luce Model,"Aadirupa Saha, Aditya Gopalan",5831
Reliable Fidelity and Diversity Metrics for Generative Models,"Ferjad Naeem, Seong Joon Oh, Yunjey Choi, Youngjung Uh, Jaejun Yoo",5832
Learning Factorized Weight Matrix for Joint Image Filtering,"Xiangyu Xu, Yongrui Ma, Wenxiu Sun",5833
Likelihood-free MCMC with Amortized Approximate Ratio Estimators,"Joeri Hermans, Volodimir Begy, Gilles Louppe",5834
Attacks Which Do Not Kill Training Make Adversarial Learning Stronger,"Jingfeng Zhang, Xilie Xu, Bo Han, Gang Niu, Lizhen Cui, Masashi Sugiyama, Mohan Kankanhalli",5835
GradientDICE: Rethinking Generalized Offline Estimation of Stationary Values,"Shangtong Zhang, Bo Liu, Shimon Whiteson",5836
Provably Convergent Two-Timescale Off-Policy Actor-Critic with Function Approximation,"Shangtong Zhang, Bo Liu, Hengshuai Yao, Shimon Whiteson",5837
Adversarial Attacks on Probabilistic Autoregressive Forecasting Models,"Raphaël Dang-Nhu, Gagandeep Singh, Pavol Bielik, Martin Vechev",5838
Informative Dropout for Robust Representation Learning: A Shape-bias Perspective,"Baifeng Shi, Dinghuai Zhang, Qi Dai, Jingdong Wang, Zhanxing Zhu, Yadong Mu",5839
Graph Convolutional Network for Recommendation with Low-pass Collaborative Filters,"Wenhui Yu, Zheng Qin",5840
SoftSort: A Differantiable Continuous Relaxation of the argsort Operator,"Sebastian Prillo, Julian M Eisenschlos",5841
Too Relaxed to Be Fair,"Michael Lohaus, Michaël Perrot, Ulrike von Luxburg",5842
Lorentz Group Equivariant Neural Network for Particle Physics,"Alexander Bogatskiy, Brandon Anderson, Jan T Offermann, Marwah Roussi, David Miller, Risi Kondor",5843
One-shot Distributed Ridge Regression in High Dimensions,"Yue Sheng, Edgar Dobriban",5844
Streaming k-Submodular Maximization under Noise subject to Size Constraint,"Lan N. Nguyen, My T. Thai",5845
